"last_name, first_name","player_id","year","player_age","ab","hit","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_stolen_base"
"Pujols, Albert","405395","2019","39","491","120","23",".244",".430",".305","0.735","93","3"
"Cabrera, Miguel","408234","2019","36","493","139","12",".282",".398",".346","0.744","59","0"
"Choo, Shin-Soo","425783","2019","36","563","149","24",".265",".455",".371","0.826","61","15"
"Jones, Adam","430945","2019","33","485","126","16",".260",".414",".313","0.727","67","2"
"Cruz Jr., Nelson","443558","2019","38","454","141","41",".311",".639",".392","1.031","108","0"
"Longoria, Evan","446334","2019","33","453","115","20",".254",".437",".325","0.762","69","3"
"Fowler, Dexter","451594","2019","33","487","116","19",".238",".409",".346","0.755","67","8"
"Cabrera, Asdrúbal","452678","2019","33","447","116","18",".260",".441",".342","0.783","91","4"
"Blackmon, Charlie","453568","2019","32","580","182","32",".314",".576",".364","0.940","86","2"
"Cain, Lorenzo","456715","2019","33","562","146","11",".260",".372",".325","0.697","48","18"
"Turner, Justin","457759","2019","34","479","139","27",".290",".509",".372","0.881","67","2"
"Votto, Joey","458015","2019","35","525","137","15",".261",".411",".357","0.768","47","5"
"Gardner, Brett","458731","2019","35","491","123","28",".251",".503",".325","0.828","74","10"
"Braun, Ryan","460075","2019","35","459","131","22",".285",".505",".343","0.848","75","11"
"Gordon, Alex","460086","2019","35","556","148","13",".266",".396",".345","0.741","76","5"
"Andrus, Elvis","462101","2019","30","600","165","12",".275",".393",".313","0.706","72","31"
"Ramos, Wilson","467092","2019","31","473","136","14",".288",".416",".351","0.767","73","1"
"Santana, Carlos","467793","2019","33","573","161","34",".281",".515",".397","0.912","93","4"
"Belt, Brandon","474832","2019","31","526","123","17",".234",".403",".339","0.742","57","4"
"Brantley Jr., Michael","488726","2019","32","575","179","22",".311",".503",".372","0.875","90","3"
"Gurriel, Yuli","493329","2019","35","564","168","31",".298",".541",".343","0.884","104","5"
"Rojas, Miguel","500743","2019","30","483","137","5",".284",".379",".331","0.710","46","9"
"Escobar, Eduardo","500871","2019","30","636","171","35",".269",".511",".320","0.831","118","5"
"Davis, Khris","501981","2019","31","481","106","23",".220",".387",".293","0.680","73","0"
"Pham, Tommy","502054","2019","31","567","155","21",".273",".450",".369","0.819","68","25"
"Martinez, J.D.","502110","2019","31","575","175","36",".304",".557",".383","0.940","105","2"
"Reddick, Josh","502210","2019","32","501","138","14",".275",".409",".319","0.728","56","5"
"Goldschmidt, Paul","502671","2019","31","597","155","34",".260",".476",".346","0.822","97","3"
"Altuve, Jose","514888","2019","29","500","149","31",".298",".550",".353","0.903","74","6"
