,player_id,year,Age,AB,H,HR,AVG,SLG,OBP,OPS,RBI,SB,Last Name,First Name
0,405395,2019,39,491,120,23,0.244,0.43,0.305,0.735,93,3,Pujols,Albert
1,408234,2019,36,493,139,12,0.282,0.398,0.346,0.744,59,0,Cabrera,Miguel
2,425783,2019,36,563,149,24,0.265,0.455,0.371,0.826,61,15,Choo,Shin-Soo
3,430945,2019,33,485,126,16,0.26,0.414,0.313,0.727,67,2,Jones,Adam
4,443558,2019,38,454,141,41,0.311,0.639,0.392,1.031,108,0,Cruz Jr.,Nelson
5,446334,2019,33,453,115,20,0.254,0.437,0.325,0.762,69,3,Longoria,Evan
6,451594,2019,33,487,116,19,0.238,0.409,0.346,0.755,67,8,Fowler,Dexter
7,452678,2019,33,447,116,18,0.26,0.441,0.342,0.783,91,4,Cabrera,Asdrúbal
8,453568,2019,32,580,182,32,0.314,0.576,0.364,0.94,86,2,Blackmon,Charlie
9,456715,2019,33,562,146,11,0.26,0.372,0.325,0.697,48,18,Cain,Lorenzo
10,457759,2019,34,479,139,27,0.29,0.509,0.372,0.881,67,2,Turner,Justin
11,458015,2019,35,525,137,15,0.261,0.411,0.357,0.768,47,5,Votto,Joey
12,458731,2019,35,491,123,28,0.251,0.503,0.325,0.828,74,10,Gardner,Brett
13,460075,2019,35,459,131,22,0.285,0.505,0.343,0.848,75,11,Braun,Ryan
14,460086,2019,35,556,148,13,0.266,0.396,0.345,0.741,76,5,Gordon,Alex
15,462101,2019,30,600,165,12,0.275,0.393,0.313,0.706,72,31,Andrus,Elvis
16,467092,2019,31,473,136,14,0.288,0.416,0.351,0.767,73,1,Ramos,Wilson
17,467793,2019,33,573,161,34,0.281,0.515,0.397,0.912,93,4,Santana,Carlos
18,474832,2019,31,526,123,17,0.234,0.403,0.339,0.742,57,4,Belt,Brandon
19,488726,2019,32,575,179,22,0.311,0.503,0.372,0.875,90,3,Brantley Jr.,Michael
20,493329,2019,35,564,168,31,0.298,0.541,0.343,0.884,104,5,Gurriel,Yuli
21,500743,2019,30,483,137,5,0.284,0.379,0.331,0.71,46,9,Rojas,Miguel
22,500871,2019,30,636,171,35,0.269,0.511,0.32,0.831,118,5,Escobar,Eduardo
23,501981,2019,31,481,106,23,0.22,0.387,0.293,0.68,73,0,Davis,Khris
24,502054,2019,31,567,155,21,0.273,0.45,0.369,0.819,68,25,Pham,Tommy
25,502110,2019,31,575,175,36,0.304,0.557,0.383,0.94,105,2,Martinez,J.D.
26,502210,2019,32,501,138,14,0.275,0.409,0.319,0.728,56,5,Reddick,Josh
27,502671,2019,31,597,155,34,0.26,0.476,0.346,0.822,97,3,Goldschmidt,Paul
28,514888,2019,29,500,149,31,0.298,0.55,0.353,0.903,74,6,Altuve,Jose
29,514917,2019,29,612,171,14,0.279,0.408,0.333,0.741,71,9,Hernández,César
30,516416,2019,29,576,161,12,0.28,0.42,0.323,0.743,60,10,Segura,Jean
31,516770,2019,29,636,172,22,0.27,0.436,0.3,0.736,86,2,Castro,Starlin
32,516782,2019,30,539,159,23,0.295,0.503,0.342,0.845,82,25,Marte,Starling
33,518626,2019,33,549,142,37,0.259,0.521,0.379,0.9,94,4,Donaldson,Josh
34,518692,2019,29,597,176,38,0.295,0.549,0.389,0.938,121,6,Freeman,Freddie
35,518735,2019,30,513,126,28,0.246,0.468,0.38,0.848,77,5,Grandal,Yasmani
36,518792,2019,29,513,129,21,0.251,0.429,0.343,0.772,62,8,Heyward,Jason
37,518934,2019,30,602,197,26,0.327,0.518,0.375,0.893,102,5,LeMahieu,DJ
38,519058,2019,30,523,133,35,0.254,0.516,0.329,0.845,87,3,Moustakas,Mike
39,519203,2019,29,512,150,27,0.293,0.52,0.405,0.925,94,5,Rizzo,Anthony
40,520471,2019,29,557,145,23,0.26,0.438,0.296,0.734,70,4,Galvis,Freddy
41,541645,2019,28,489,138,20,0.282,0.464,0.332,0.796,72,10,García,Avisaíl
42,542303,2019,28,485,117,29,0.241,0.472,0.328,0.8,89,12,Ozuna,Marcell
43,542340,2019,28,642,176,24,0.274,0.453,0.339,0.792,73,40,Villar,Jonathan
44,542454,2019,28,474,134,28,0.283,0.534,0.324,0.858,81,21,Santana,Danny
45,543063,2019,32,500,114,11,0.228,0.35,0.304,0.654,59,3,Crawford,Brandon
46,543333,2019,29,619,164,22,0.265,0.425,0.31,0.735,99,0,Hosmer,Eric
47,543401,2019,32,458,112,17,0.245,0.41,0.304,0.714,65,7,Kipnis,Jason
48,543685,2019,29,545,174,34,0.319,0.598,0.412,1.01,126,5,Rendon,Anthony
49,543760,2019,28,657,187,33,0.285,0.522,0.369,0.891,92,10,Semien,Marcus
